id,coverage,floor_h_m,blocks,footprint_total_m2,floors,height_m,gfa_m2,far,gap_available_m,gap_legal_req_m,gap_intent_req_m,zoning_ok,spacing_legal_ok,spacing_intent_ok,ok_legal,ok_intent
0,0.1,2.8,1,781.33,39,109.20,30471.91,3.9000,,,,False,,,False,False
1,0.1,2.8,2,781.33,39,109.20,30471.91,3.9000,74.09,41.00,109.20,False,True,False,False,False
2,0.1,3.2,1,781.33,39,124.80,30471.91,3.9000,,,,False,,,False,False
3,0.1,3.2,2,781.33,39,124.80,30471.91,3.9000,74.09,41.00,124.80,False,True,False,False,False
4,0.1,3.6,1,781.33,39,140.40,30471.91,3.9000,,,,False,,,False,False
5,0.1,3.6,2,781.33,39,140.40,30471.91,3.9000,74.09,41.00,140.40,False,True,False,False,False
6,0.1,4.0,1,781.33,39,156.00,30471.91,3.9000,,,,False,,,False,False
7,0.1,4.0,2,781.33,39,156.00,30471.91,3.9000,74.09,41.00,156.00,False,True,False,False,False
8,0.15,2.8,1,1172.00,26,72.80,30471.91,3.9000,,,,True,,,True,True
9,0.15,2.8,2,1172.00,26,72.80,30471.91,3.9000,65.21,28.00,72.80,True,True,False,True,False
10,0.15,3.2,1,1172.00,26,83.20,30471.91,3.9000,,,,False,,,False,False
11,0.15,3.2,2,1172.00,26,83.20,30471.91,3.9000,65.21,28.00,83.20,False,True,False,False,False
12,0.15,3.6,1,1172.00,26,93.60,30471.91,3.9000,,,,False,,,False,False
13,0.15,3.6,2,1172.00,26,93.60,30471.91,3.9000,65.21,28.00,93.60,False,True,False,False,False
14,0.15,4.0,1,1172.00,26,104.00,30471.91,3.9000,,,,False,,,False,False
15,0.15,4.0,2,1172.00,26,104.00,30471.91,3.9000,65.21,28.00,104.00,False,True,False,False,False
16,0.2,2.8,1,1562.66,19,53.20,29690.58,3.8000,,,,True,,,True,True
17,0.2,2.8,2,1562.66,19,53.20,29690.58,3.8000,57.72,21.00,53.20,True,True,True,True,True
18,0.2,3.2,1,1562.66,19,60.80,29690.58,3.8000,,,,True,,,True,True
19,0.2,3.2,2,1562.66,19,60.80,29690.58,3.8000,57.72,21.00,60.80,True,True,False,True,False
20,0.2,3.6,1,1562.66,19,68.40,29690.58,3.8000,,,,True,,,True,True
21,0.2,3.6,2,1562.66,19,68.40,29690.58,3.8000,57.72,21.00,68.40,True,True,False,True,False
22,0.2,4.0,1,1562.66,19,76.00,29690.58,3.8000,,,,True,,,True,True
23,0.2,4.0,2,1562.66,19,76.00,29690.58,3.8000,57.72,21.00,76.00,True,True,False,True,False
24,0.25,2.8,1,1953.33,16,44.80,31253.24,4.0000,,,,True,,,True,True
25,0.25,2.8,2,1953.33,16,44.80,31253.24,4.0000,51.12,18.00,44.80,True,True,True,True,True
26,0.25,3.2,1,1953.33,16,51.20,31253.24,4.0000,,,,True,,,True,True
27,0.25,3.2,2,1953.33,16,51.20,31253.24,4.0000,51.12,18.00,51.20,True,True,False,True,False
28,0.25,3.6,1,1953.33,16,57.60,31253.24,4.0000,,,,True,,,True,True
29,0.25,3.6,2,1953.33,16,57.60,31253.24,4.0000,51.12,18.00,57.60,True,True,False,True,False
30,0.25,4.0,1,1953.33,16,64.00,31253.24,4.0000,,,,True,,,True,True
31,0.25,4.0,2,1953.33,16,64.00,31253.24,4.0000,51.12,18.00,64.00,True,True,False,True,False
32,0.3,2.8,1,2343.99,13,36.40,30471.91,3.9000,,,,True,,,True,True
33,0.3,2.8,2,2343.99,13,36.40,30471.91,3.9000,45.16,15.00,36.40,True,True,True,True,True
34,0.3,3.2,1,2343.99,13,41.60,30471.91,3.9000,,,,True,,,True,True
35,0.3,3.2,2,2343.99,13,41.60,30471.91,3.9000,45.16,15.00,41.60,True,True,True,True,True
36,0.3,3.6,1,2343.99,13,46.80,30471.91,3.9000,,,,True,,,True,True
37,0.3,3.6,2,2343.99,13,46.80,30471.91,3.9000,45.16,15.00,46.80,True,True,False,True,False
38,0.3,4.0,1,2343.99,13,52.00,30471.91,3.9000,,,,True,,,True,True
39,0.3,4.0,2,2343.99,13,52.00,30471.91,3.9000,45.16,15.00,52.00,True,True,False,True,False
40,0.35,2.8,1,2734.66,11,30.80,30081.24,3.8500,,,,True,,,True,True
41,0.35,2.8,2,2734.66,11,30.80,30081.24,3.8500,39.67,13.00,30.80,True,True,True,True,True
42,0.35,3.2,1,2734.66,11,35.20,30081.24,3.8500,,,,True,,,True,True
43,0.35,3.2,2,2734.66,11,35.20,30081.24,3.8500,39.67,13.00,35.20,True,True,True,True,True
44,0.35,3.6,1,2734.66,11,39.60,30081.24,3.8500,,,,True,,,True,True
45,0.35,3.6,2,2734.66,11,39.60,30081.24,3.8500,39.67,13.00,39.60,True,True,True,True,True
46,0.35,4.0,1,2734.66,11,44.00,30081.24,3.8500,,,,True,,,True,True
47,0.35,4.0,2,2734.66,11,44.00,30081.24,3.8500,39.67,13.00,44.00,True,True,False,True,False
48,0.4,2.8,1,3125.32,9,25.20,28127.92,3.6000,,,,True,,,True,True
49,0.4,2.8,2,3125.32,9,25.20,28127.92,3.6000,34.56,11.00,25.20,True,True,True,True,True
50,0.4,3.2,1,3125.32,9,28.80,28127.92,3.6000,,,,True,,,True,True
51,0.4,3.2,2,3125.32,9,28.80,28127.92,3.6000,34.56,11.00,28.80,True,True,True,True,True
52,0.4,3.6,1,3125.32,9,32.40,28127.92,3.6000,,,,True,,,True,True
53,0.4,3.6,2,3125.32,9,32.40,28127.92,3.6000,34.56,11.00,32.40,True,True,True,True,True
54,0.4,4.0,1,3125.32,9,36.00,28127.92,3.6000,,,,True,,,True,True
55,0.4,4.0,2,3125.32,9,36.00,28127.92,3.6000,34.56,11.00,36.00,True,True,False,True,False
56,0.45,2.8,1,3515.99,8,22.40,28127.92,3.6000,,,,True,,,True,True
57,0.45,2.8,2,3515.99,8,22.40,28127.92,3.6000,29.77,10.00,22.40,True,True,True,True,True
58,0.45,3.2,1,3515.99,8,25.60,28127.92,3.6000,,,,True,,,True,True
59,0.45,3.2,2,3515.99,8,25.60,28127.92,3.6000,29.77,10.00,25.60,True,True,True,True,True
60,0.45,3.6,1,3515.99,8,28.80,28127.92,3.6000,,,,True,,,True,True
61,0.45,3.6,2,3515.99,8,28.80,28127.92,3.6000,29.77,10.00,28.80,True,True,True,True,True
62,0.45,4.0,1,3515.99,8,32.00,28127.92,3.6000,,,,True,,,True,True
63,0.45,4.0,2,3515.99,8,32.00,28127.92,3.6000,29.77,10.00,32.00,True,True,False,True,False
64,0.5,2.8,1,3906.66,8,22.40,31253.24,4.0000,,,,True,,,True,True
65,0.5,2.8,2,3906.66,8,22.40,31253.24,4.0000,25.23,10.00,22.40,True,True,True,True,True
66,0.5,3.2,1,3906.66,8,25.60,31253.24,4.0000,,,,True,,,True,True
67,0.5,3.2,2,3906.66,8,25.60,31253.24,4.0000,25.23,10.00,25.60,True,True,False,True,False
68,0.5,3.6,1,3906.66,8,28.80,31253.24,4.0000,,,,True,,,True,True
69,0.5,3.6,2,3906.66,8,28.80,31253.24,4.0000,25.23,10.00,28.80,True,True,False,True,False
70,0.5,4.0,1,3906.66,8,32.00,31253.24,4.0000,,,,True,,,True,True
71,0.5,4.0,2,3906.66,8,32.00,31253.24,4.0000,25.23,10.00,32.00,True,True,False,True,False
